groups,yf_ticker,name,min_wgt,neut_wgt,max_wgt
Dow Jones Indu,DIA,SPDR DJ Industrial Average,0,0,0
Dow Jones Indu,UNH,UnitedHealth,0,7.925693,15.851386
Dow Jones Indu,GS,Goldman Sachs,0,7.375895,14.75179
Dow Jones Indu,HD,Home Depot,0,6.486904,12.973808
Dow Jones Indu,MSFT,Microsoft,0,5.708211,11.416422
Dow Jones Indu,CRM,salesforce.com,0,5.468193,10.936386
Dow Jones Indu,MCD,McDonald's,0,4.610878,9.221756
Dow Jones Indu,V,Visa Class A,0,4.245665,8.49133
Dow Jones Indu,HON,Honeywell,0,4.121413,8.242826
Dow Jones Indu,BA,Boeing,0,4.099731,8.199462
Dow Jones Indu,AMGN,Amgen,0,3.898741,7.797482
Dow Jones Indu,CAT,Caterpillar,0,3.664002,7.328004
Dow Jones Indu,MMM,3M,0,3.39985,6.7997
Dow Jones Indu,DIS,Walt Disney,0,3.28842,6.57684
Dow Jones Indu,AXP,American Express,0,3.233742,6.467484
Dow Jones Indu,JPM,JPMorgan,0,3.082151,6.164302
Dow Jones Indu,JNJ,Johnson & Johnson,0,3.0188,6.0376
Dow Jones Indu,NKE,NIKE Class B,0,2.962802,5.925604
Dow Jones Indu,TRV,Travelers Companies,0,2.954317,5.908634
Dow Jones Indu,PG,Procter & Gamble,0,2.715996,5.431992
Dow Jones Indu,AAPL,Apple,0,2.710528,5.421056
Dow Jones Indu,IBM,IBM,0,2.703552,5.407104
Dow Jones Indu,WMT,Walmart,0,2.637184,5.274368
Dow Jones Indu,CVX,Chevron,0,2.051562,4.103124
Dow Jones Indu,MRK,Merck & Co.,0,1.476876,2.953752
Dow Jones Indu,DOW,Dow,0,1.107516,2.215032
Dow Jones Indu,CSCO,Cisco Systems,0,1.049255,2.09851
Dow Jones Indu,KO,Coca-Cola,0,1.029646,2.059292
Dow Jones Indu,INTC,Intel,0,1.01626,2.03252
Dow Jones Indu,VZ,Verizon,0,0.978927,1.957854
Dow Jones Indu,WBA,Walgreens Boots,0,0.957245,1.91449
AA Conservative,IVV,Equities - iShares Core S&P 500 ETF,20,30,40
AA Conservative,AGG,Bonds - iShares Core US Aggregate Bond ETF,60,70,80
AA Conservative,DBC,Commodities - Invesco DB Commodity Index Tracking Fund,0,0,5
